id,question,ground_truth_answer,question_type,difficulty,source_location,notes
11,"How many semilandmarks and discrete landmarks were used to characterize tooth crown shape?","Three discrete landmarks (two at the base, one at the apex) and 56 semilandmarks",numerical,medium,"Methods/p.1334",""
12,"According to the regression of average alveolar area (AAA) against rosette width (RW), did spinosaurids or crocodylians tend to have larger relative alveoli?","Spinosaurids almost always had larger relative alveoli than crocodylians for a given rosette width; nearly all spinosaurid specimens had positive residuals while crocodylian residuals became increasingly negative as RW increased",abstractive,medium,"Results 3.1/Figure 2/p.1335-1336",""
13,"Was the relationship between morphological disparity (heterodonty, MD) and body-size covariates (AAA, HW, RW) isometric or allometric? What does this mean biologically?","The regressions of MD against AAA, HW, and RW were significantly positively allometric (not isometric), meaning larger animals had disproportionately more dental size variation (heterodonty) in their jaws than smaller animals",abstractive,medium,"Results 3.1/Figure 2d-e/p.1336-1337",""
14,"Which spinosaurid taxon had the highest heterodonty (MD) residuals of all sampled taxa?","Iberospinus",factual_extraction,medium,"Results 3.1/p.1337",""
15,"How many principal components were found to be biologically meaningful in the tooth crown shape PCA, and what did PC1 and PC2 broadly represent?","Two PCs were meaningful; PC1 broadly captured crown breadth/robustness (crocodylians had much shorter, wider crowns while spinosaurids fell within the gavialid range of narrow crowns), and PC2 captured crown curvature (with positive PC2 values indicating straighter crocodylian-like crowns and negative values indicating curved megalosaurid-like crowns)",abstractive,medium,"Results 3.2/Figure 3/p.1337",""
16,"What was the result of the MANOVA comparing tooth crown shape among taxonomic groups?","All taxonomic groups were significantly different from each other (Wilk's Lambda = 0.0168, F = 3.623, p < 0.0001)",numerical,medium,"Results 3.2/p.1338","Exact statistic recall"
17,"How many rostra and dentaries of spinosaurids were available for the jaw margin geometric morphometric analysis, and why was the sample so small?","Six rostra and six dentaries total; only Baryonyx walkerii and Suchomimus tenerensis had both rostrum and dentary preserved, so the remaining sampled spinosaurids contributed only one or the other",numerical,medium,"Methods/Results 3.3/p.1334, 1338",""
18,"What key rostral feature distinguished all spinosaurids from crocodylians in the geometric morphometric analysis of the rostrum?","All spinosaurids had a premaxillary convexity at the rostrum tip producing a downturned terminal rosette, a feature that crocodylians lacked",abstractive,easy,"Results 3.3/p.1338",""
19,"How does the position of the maxillary convexity differ between spinosaurines and baryonychines, and what is the functional consequence for the concavity between the premaxillary and maxillary convexities?","In spinosaurines the maxillary convexity is positioned very caudally, creating a long concavity between it and the premaxillary convexity; in baryonychines the maxillary convexity is positioned very rostrally, creating only a small concavity",abstractive,medium,"Results 3.3/p.1338",""
20,"What is the key craniodental difference between Baryonychinae and Spinosaurinae regarding tooth position along the dentary?","Baryonychines had many more, smaller alveoli along the dentary and lacked enlarged alveoli along the caudal dentary; spinosaurines instead had a second region of enlarged alveoli along the caudal dentary, roughly similar in size to the rostral set",abstractive,medium,"Results 3.1/Discussion 4.1/p.1334, 1339",""
21,"What ecomorphotype categories did Drumheller and Wilberg (2020) use to classify modern crocodylians by rostrum shape and prey size, and how were they defined?","Three categories: (1) 'slender longirostrine' -- slender/tube-snouted taxa that take prey smaller than themselves; (2) 'generalists' -- mesorostrine, triangular snouts, eating prey around their own body mass; (3) 'macro-generalists' -- mesorostrine, U-shaped snouts, eating prey larger than themselves",abstractive,medium,"Introduction/p.1332",""
22,"According to the paper, which crocodylian ecomorphotype(s) did spinosaurid rostrum and dentary shape most closely resemble?","Spinosaurid rostra and dentaries plotted with generalist/macro-generalist crocodylians (deep jaws), rather than with slender-longirostrine crocodylians",abstractive,medium,"Results 3.3/p.1338",""
23,"Did the authors find support for the idea that spinosaurids were restricted to fish or small aquatic prey?","No. The authors concluded there is no indication that spinosaurids were restricted to fish or small aquatic prey; their dentition and jaw heterodonty overlapped with generalist/macro-generalist crocodylians that consume prey around or larger than their own body size",abstractive,easy,"Abstract/Conclusion/p.1331, 1343",""
24,"What caveat do the authors give about interpreting the baryonychine diet as fish-specialist despite similarities to Gavialis (gharial)?","They caution against this for five reasons: (1) Gavialis teeth are thinner/more elongate with lower bending strength than spinosaurid or baryonychine teeth; (2) baryonychine alveoli are relatively and absolutely larger than Gavialis; (3) baryonychines were more heterodont than most slender-longirostrine crocodylians, especially Gavialis; (4) Gavialis has a relatively weak skull whereas Baryonyx outperformed it in bending and torsion; (5) putative Baryonyx stomach contents included a small terrestrial vertebrate (a juvenile iguanodontian)",abstractive,hard,"Discussion 4.1/p.1339","Multi-part synthesis question"
25,"What functional explanation do the authors propose for why both spinosaurids and crocodylians evolved isolated regions of enlarged versus small teeth (oscillating heterodonty) rather than gradual size change?","They propose it relates to the need to create substantial punctures in prey. If one enlarged tooth initially contacts prey, stress concentrates at its apex, maximizing the chance of puncturing; if adjacent teeth were all similarly sized, the force would be divided among multiple apices, producing shallower punctures. This is advantageous for securing large, tough-skinned, or struggling prey, but not necessary for small or compliant prey",abstractive,hard,"Discussion 4.2/p.1340-1341",""
26,"How do the authors interpret the coupling between tooth size and jaw margin undulation (convexities/concavities)?","They suggest it may reflect a developmental constraint: large teeth have long roots and need deep alveoli to accommodate them and their replacement teeth, and the convexities on the jaw margin may simply provide the space needed for that depth",abstractive,medium,"Discussion 4.2/p.1341",""
27,"What does the paper conclude about whether the spinosaurid feeding apparatus supports the subaqueous pursuit predator hypothesis versus the wading/shoreline feeding hypothesis?","The data do not strongly favor one hypothesis over the other; the authors note that no living crocodylian has been observed feeding by bringing its jaws down into the water, making crocodylians a poor model for testing the wading/shoreline hypothesis specifically, but the study did not provide strong validation for either the subaqueous pursuit or wading hypothesis",abstractive,medium,"Discussion 4.4/p.1342-1343",""
28,"What did CT scans of spinosaurid jaws (Rayfield et al., 2007) reveal about internal bone volume, and how does this relate to the developmental constraint hypothesis?","CT scans indicated that much of the host bone volume of spinosaurid jaws was taken up by tooth roots, supporting the idea that jaw depth (and its undulations) was influenced by the space needed for large tooth roots and their replacements",abstractive,medium,"Discussion 4.2/p.1341",""
29,"Which fossil taxon does Cau (2024) suggest may represent a very immature spinosaurid, and what evidence about its diet is mentioned?","Scipionyx samniticus; despite lacking derived spinosaurid traits, its gut contents included both terrestrial prey and fish, tentatively suggesting young spinosaurids shared feeding habitats with adults",factual_extraction,medium,"Discussion 4.4/p.1342",""
30,"What comparison do the authors make between spinosaurid bite force and that of other theropods?","Spinosaurid bite force may have been relatively low for their size range, but the bite force of Spinosaurus specifically was similar to that of medium-sized tyrannosaurids",abstractive,medium,"Discussion 4.1/p.1340",""
31,"According to Figure 1, what institutional specimens are shown as examples of Spinosaurinae and Baryonychinae host bones?","Spinosaurinae examples: premaxilla/maxilla of MSNM V4047 and partial dentary of NHM R16421; Baryonychinae examples: premaxilla/maxilla of a cast of MNN GDF501 and dentary of NHM R9951",factual_extraction,hard,"Figure 1/p.1335","Tests figure-caption grounding"
32,"What role do the authors suggest the spinosaurid forelimbs and manual claws may have played in feeding, given the reduced flesh-cutting ability of their teeth?","Since spinosaurid teeth lacked cutting ziphodont features, the authors suggest the enlarged forelimbs and claws may have helped manipulate and break up large prey that could not be swallowed whole or reduced by the jaws alone, especially useful since buoyant food could not easily be secured with the feet as in land theropods",abstractive,medium,"Discussion 4.3/p.1342",""
33,"What is the isometric slope value used as the baseline for determining allometry in the AAA-vs-covariate regressions, and in the MD-vs-covariate regressions?","2.0 for the AAA vs. RW/HW/AAA-type regressions (a-c in Figure 2) and 4.0 for the MD vs. RW/HW regressions (d-e in Figure 2)",numerical,hard,"Figure 2 caption/p.1336",""
34,"Does the paper report on the diet of Suchomimus tenerensis specifically, e.g., unique dental features?","The paper notes Suchomimus is a baryonychine whose maxillary tooth arcade was eight positions longer than any spinosaurine maxilla, and it had the most positive residual for AAA vs. head width among sampled taxa, but the paper does not report direct stomach-content or isotopic diet evidence specifically for Suchomimus",unanswerable_partial,hard,"Results 3.1/p.1335-1337","Tests whether system avoids fabricating specifics not in the paper"
35,"Does this paper report a body mass estimate for Spinosaurus?","No, the paper does not report a specific body mass estimate for Spinosaurus; it discusses bite force, allometry, and heterodonty but does not provide mass figures",unanswerable,medium,"N/A","Negative-control question to test hallucination avoidance"
36,"Does this paper describe the histology of spinosaurid bones to assess aquatic adaptation?","No. The paper cites prior histology work (Aureliano et al., 2018) as background indicating aquatic affinities, but this study's own methodology is craniodental (alveolar area, tooth crown shape, rostrum/dentary shape) -- it does not conduct new bone histology analysis",unanswerable,medium,"Introduction/p.1332","Tests whether system distinguishes cited background work from the paper's own methods"
